pimTarget,label,layer,pimClass,kind,pimAccepts,existingCodes,foAttributeName,foExampleValue,foSendsCodeOrLabel,notes
headType,"Head Type",series,PtScrew,"relation (one)","PtHeadType object, matched on its `code`","MH (Mushroom head)",,,,"F&O sends a word; PIM must resolve it to a PtHeadType object. Unknown word = no value written."
driveType,"Drive Type",series,PtScrew,"relation (one)","PtDriveType object, matched on its `code`","TORX (TORX)",,,,"F&O sends a word; PIM must resolve it to a PtDriveType object. Unknown word = no value written."
threadType,"Thread Type",series,PtScrew,"relation (one)","PtThreadType object, matched on its `code`","WOOD (Wood)",,,,"F&O sends a word; PIM must resolve it to a PtThreadType object. Unknown word = no value written."
pointType,"Point Type",series,PtScrew,"relation (one)","PtPointType object, matched on its `code`","S-Point (S-Point)",,,,"F&O sends a word; PIM must resolve it to a PtPointType object. Unknown word = no value written."
features,"Special features",series,PtScrew,"relation (many)","PtFeature object, matched on its `code`","Wings (Wings)",,,,"F&O sends a word; PIM must resolve it to a PtFeature object. Unknown word = no value written."
targetMaterial,"Target Materials",series,PtScrew,"relation (many)","PtTargetMaterial object, matched on its `code`","Wood-on-Steel (Wood on Steel)",,,,"F&O sends a word; PIM must resolve it to a PtTargetMaterial object. Unknown word = no value written."
material,Material,range,"PtScrew + PtWasher","relation (one)","PtMaterial object, matched on its `code`","CS (Carbon steel)",,,,"F&O sends a word; PIM must resolve it to a PtMaterial object. Unknown word = no value written."
coating,Coating,range,"PtScrew + PtWasher","relation (one)","PtCoating object, matched on its `code`","Zytec-GX (Zytec GX)",,,,"F&O sends a word; PIM must resolve it to a PtCoating object. Unknown word = no value written."
application,Application,range,"PtScrew + PtWasher","relation (one)","PtApplication object, matched on its `code`","Decking (Decking)",,,,"F&O sends a word; PIM must resolve it to a PtApplication object. Unknown word = no value written."
"productGroupAttributes › screw_drawing_basic_group › kl_dMinor",Dminor(d),productGroup,PtScrew,quantityValue,"number + unit. Valid units: mm / in. Default mm. Send number and unit separately, not ""35.00 mm"" in one string.",,,,,"Needs value and unit split out."
